"Tobacco, sales and inventories, monthly production (x 1,000)" 1
"Monthly"
"Table: 16-10-0044-01 (formerly CANSIM 303-0062)"
"Geography: Canada"

"","Production","Total sales","Adjustments of total sales","Opening inventory","Closing inventory"
"","Cigarettes 2","Cigarettes 2","Cigarettes 2","Cigarettes 2","Cigarettes 2"
"Reference period","Canada","Canada","Canada","Canada","Canada"
"","Number",,,,
"July 2019","1,763,322A","1,699,265A","x","3,436,156B","x"
"August 2019","1,402,511A","1,735,092A","x","x","2,744,401A"
"September 2019","1,920,866A","1,494,682A","x","2,744,401A","x"
"October 2019","1,872,788A","1,590,038A","x","x","3,052,711A"
"November 2019","1,816,321A","1,779,303A","x","3,052,711A","x"

A : data quality: excellent,
B : data quality: very good,
r : revised,
x : suppressed to meet the confidentiality requirements of the Statistics Act,

Footnotes:
1,"For data on reference years prior to 2004, please see CANSIM table 303-0007."
2,"Cigarettes which contain tobacco including both regular and king sized, as well as filtered and plain varieties."

"How to cite: Statistics Canada. Table 16-10-0044-01 Tobacco, sales and inventories, monthly production (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004401
DOI:  https://doi.org/10.25318/1610004401-eng
